,n_iter,lr,n_layers,solver,score,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
42,5,0.01,2,sgd,f1-score,0.9248971193415638,0.7358238825883923,0.2652733118971061,0.8598726114649682,0.9356664951106537,0.7216981132075472,0.9280245022970903,0.8880039820806372,0.8542471042471043,0.8982963345379452,0.8189,0.8011803456773009,0.7986705142194758
43,5,0.01,2,sgd,support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.8189,10000.0,10000.0
44,5,0.01,2,lbfgs,precision,0.22667604313173934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17178235088943147,0.1952,0.03984583940211708,0.03954709143165409
45,5,0.01,2,lbfgs,recall,0.986734693877551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9762140733399405,0.1952,0.19629487672174914,0.1952
46,5,0.01,2,lbfgs,f1-score,0.36866183759054516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2921548272282367,0.1952,0.06608166648187819,0.06560728215120251
47,5,0.01,2,lbfgs,support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.1952,10000.0,10000.0
48,5,0.01,3,adam,precision,0.9445525291828794,0.9874213836477987,0.9596456692913385,0.8953168044077136,0.9853768278965129,0.9420625724217845,0.9673684210526315,0.9448144624167459,0.9406150583244963,0.9007561436672968,0.9461,0.9467929872309198,0.9471999142295731
49,5,0.01,3,adam,recall,0.9908163265306122,0.9682819383259912,0.9447674418604651,0.9653465346534653,0.8920570264765784,0.9114349775784754,0.9592901878914405,0.9659533073929961,0.9106776180698152,0.9444995044598612,0.9461,0.9453124863239701,0.9461
50,5,0.01,3,adam,f1-score,0.9671314741035856,0.9777580071174377,0.9521484375,0.9290138161029061,0.9363976483164083,0.9264957264957264,0.9633123689727463,0.9552669552669553,0.9254042775169535,0.9221093372036768,0.9461,0.9455038048596396,0.9461061770174986
51,5,0.01,3,adam,support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.9461,10000.0,10000.0
52,5,0.01,3,sgd,precision,0.9519519519519519,0.9695387293298521,0.9167464114832536,0.8931583880037488,0.9253731343283582,0.928246013667426,0.9569429494079655,0.9480269489894129,0.9403620873269436,0.968421052631579,0.9398,0.9398767667120491,0.9402596065594245
53,5,0.01,3,sgd,recall,0.9704081632653061,0.9814977973568282,0.9282945736434108,0.9435643564356435,0.9470468431771895,0.9136771300448431,0.9279749478079332,0.958171206225681,0.9065708418891171,0.9117938553022795,0.9398,0.9388999715148232,0.9398
